number,name
110,Glaciere
144,Liege
161,MalakoffRueEtienneDolet
293,Vaugirard
242,Ranelagh
206,PontdeLevalloisBecon
103,Gambetta
52,Charonne
35,BoulognePontdeSaintCloud
98,Fortd'Aubervilliers
288,Trinited'Estienned'Orves
30,Bolivar
160,MalakoffPlateaudeVanves
210,PontNeuf
268,SaintMarcel
91,EtienneMarcel
224,PortedeSaintOuen
216,PortedeChoisy
229,Ported'Italie
7,Argentine
232,Ported'Orleans
254,RuedesBoulets
32,Botzaris
61,Chevaleret
121,Jaures
200,PlacedeClichy
150,Madeleine
295,VictorHugo
262,SaintFrancoisXavier
88,Eglised'Auteuil
50,CharlesdeGaulleEtoile
53,Chateaud'Eau
89,EglisedePantin
241,Rambuteau
197,Picpus
263,SaintGeorges
269,SaintMichel
54,ChateaudeVincennes
294,Vavin
231,PorteDoree
177,MontparnasseBienvenue
259,SaintDenisPortedeParis
73,CourSaintEmilion
29,Boissiere
230,Ported'Ivry
214,PortedeChamperret
81,DenfertRochereau
6,Anvers
290,Tuileries
235,Pyramides
222,PortedePantin
301,Voltaire
175,Monceau
87,EdgarQuinet
66,Concorde
182,NotreDamedesChamps
281,Stalingrad
203,PlaceMonge
99,FranklinD.Roosevelt
72,Couronnes
129,LaDefense
117,Iena
173,Miromesnil
152,MairiedeMontreuil
266,SaintLazare
9,ArtsetMetiers
109,GeorgeV
97,FillesduCalvaire
25,BirHakeim
74,CreteilL'Echat
255,RueduBac
148,LouvreRivoli
127,LaChapelle
85,EcoleMilitaire
287,Tolbiac
169,MichelAngeAuteuil
181,NotreDamedeLorette
195,Pernety
37,BreguetSabin
156,Mairied'Ivry
265,SaintJacques
80,Daumesnil
16,BarbesRochechouart
194,PereLachaise
44,CardinalLemoine
163,Maraichers
282,StrasbourgSaintDenis
140,LesGobelins
13,AvenueEmileZola
215,PortedeCharenton
36,Bourse
187,Ourcq
234,PreSaintGervais
5,AnatoleFrance
124,JulesJoffrin
271,SaintPhilippeduRoule
141,LesHalles
95,Falguiere
267,SaintMande
153,MairiedeSaintOuen
289,Trocadero
15,Balard
49,CharentonEcoles
196,PhilippeAuguste
171,MichelBizot
239,QuaidelaRapee
226,PortedeVanves
17,BasiliquedeSaintDenis
12,AubervilliersPantinQuatreChemins
191,Pasteur
167,MaubertMutualite
78,CroixdeChavaux
75,CreteilPrefecture
21,Berault
273,SaintSebastienFroissart
18,Bastille
63,ClunyLaSorbonne
106,GaredeLyon
2,Alesia
65,Commerce
227,PortedeVersailles
76,CreteilUniversite
116,HoteldeVille
84,Duroc
159,MaisonsAlfortStade
270,SaintPaul
68,CorentinCariou
221,PortedeMontreuil
192,Pelleport
250,Riquet
240,QuatreSeptembre
209,PontMarie
244,ReaumurSebastopol
136,LedruRollin
237,Pyrenees
22,Bercy
162,Malesherbes
46,CensierDaubenton
132,LaMottePicquetGrenelle
26,Blanche
228,PortedeVincennes
158,MaisonsAlfortLesJuilliottes
145,LouisBlanc
218,PortedeClignancourt
105,Garedel'Est
299,Villiers
94,FaidherbeChaligny
79,Danube
55,ChateauLandon
77,Crimee
283,SullyMorland
108,Garibaldi
245,Rennes
300,Volontaires
176,Montgallet
280,Solferino
130,LaFourche
292,Varenne
278,SevresLecourbe
123,Jourdain
64,ColonelFabien
204,Plaisance
33,Boucicaut
297,VillejuifLouisAragon
213,PortedeBagnolet
247,ReuillyDiderot
146,LouiseMichel
31,BonneNouvelle
193,Pereire
93,Exelmans
120,Jasmin
285,Temple
4,AlmaMarceau
276,Sentier
92,Europe
243,Raspail
302,Wagram
205,Poissonniere
45,CarrefourPleyel
27,BobignyPabloPicasso
155,Mairied'Issy
246,Republique
211,PorteDauphine
40,Buzenval
133,LaMuette
119,JacquesBonsergent
275,Segur
272,SaintPlacide
260,SaintDenisUniversite
96,FelixFaure
166,MarxDormoy
42,Cambronne
291,Vaneau
69,CorentinCelton
188,PalaisRoyalMuseeduLouvre
10,AsnieresGennevilliersLesCourtilles
186,Opera
60,CheminVert
180,Nationale
198,PierreetMarieCurie
41,Cadet
185,Olympiades
20,Belleville
202,Placed'Italie
134,LaTourMaubourg
100,GabrielPeri
170,MichelAngeMolitor
107,GareduNord
284,Telegraphe
82,Dugommier
149,Mabillon
1,Abbesses
189,Parmentier
142,LesSablons
47,ChampsElyseesClemenceau
112,GrandsBoulevards
90,EsplanadedelaDefense
151,MairiedeClichy
139,LesAgnettes
143,Liberte
178,MoutonDuvernet
24,Billancourt
48,ChardonLagache
212,Ported'Auteuil
51,CharlesMichels
147,Lourmel
172,Mirabeau
165,MarcelSembat
208,PontdeSevres
261,SaintFargeau
138,LePeletier
71,Courcelles
86,EcoleVeterinairedeMaisonsAlfort
59,Chausseed'AntinLaFayette
168,Menilmontant
113,GuyMoquet
115,Hoche
34,BoulogneJeanJaures
277,SevresBabylone
184,Odeon
67,Convention
251,Robespierre
257,SaintAmbroise
62,Cite
279,Simplon
56,ChateauRouge
11,AssembleeNationale
137,LeKremlinBicetre
249,RichelieuDrouot
111,Goncourt
199,Pigalle
179,Nation
233,PorteMaillot
58,ChatillonMontrouge
296,VillejuifLeoLagrange
102,Gallieni
258,SaintAugustin
164,MarcadetPoissonniers
223,PortedeSaintCloud
19,BelAir
220,PortedelaVillette
118,Invalides
157,MaisonBlanche
286,Ternes
23,BibliothequeFrancoisMitterrand
101,Gaite
225,PortedesLilas
128,LaCourneuve8Mai1945
104,Gared'Austerlitz
217,PortedeClichy
201,PlacedesFetes
3,AlexandreDumas
126,Kleber
57,Chatelet
14,Avron
183,Oberkampf
125,Jussieu
70,Corvisart
38,Brochant
135,Laumiere
238,QuaidelaGare
274,SaintSulpice
39,ButtesChaumont
264,SaintGermaindesPres
83,Dupleix
207,PontdeNeuilly
256,RueSaintMaur
190,Passy
253,RuedelaPompe
154,MairiedesLilas
131,LamarckCaulaincourt
43,CampoFormio
28,BobignyPantinRaymondQueneau
252,Rome
219,PortedelaChapelle
298,VillejuifPaulVaillantCouturier
114,HavreCaumartin
122,JavelAndreCitroen
248,RichardLenoir
